Journal Name,SCIE,Impact Factor,Quartile,Alias,ISSN,EISSN,JIF5Years,Category
Foundations and Trends in Machine Learning,SCIE,65.3,,FOUND TRENDS MACH LE,1935-8237,1935-8245,70.8,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|Q1|1/197"
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,SCIE,63.1,,JAMA-J AM MED ASSOC,0098-7484,1538-3598,66.8,"MEDICINE, GENERAL & INTERNAL|Q1|5/325"
World Psychiatry,SCIE,60.5,,WORLD PSYCHIATRY,1723-8617,2051-5545,55.5,PSYCHIATRY|Q1|1/276
NATURE MEDICINE,SCIE,58.7,,NAT MED,1078-8956,1546-170X,59.2,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|1/189"
ANNALS OF ONCOLOGY,SCIE,56.7,,ANN ONCOL,0923-7534,1569-8041,38.2,ONCOLOGY|Q1|4/322
CHEMICAL REVIEWS,SCIE,51.4,,CHEM REV,0009-2665,1520-6890,63.5,"CHEMISTRY, MULTIDISCIPLINARY|Q1|1/230"
NATURE,SCIE,50.5,,NATURE,0028-0836,1476-4687,54.4,MULTIDISCIPLINARY SCIENCES|Q1|1/134
Nature Reviews Methods Primers,SCIE,50.1,,NAT REV METHOD PRIME,N/A,2662-8449,50.1,MULTIDISCIPLINARY SCIENCES|Q1|2/134
Nature Energy,SCIE,49.7,,NAT ENERGY,2058-7546,2058-7546,62.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|2/438"
Nature Reviews Earth & Environment,SCIE,49.7,,NAT REV EARTH ENV,N/A,2662-138X,54.5,"GEOSCIENCES, MULTIDISCIPLINARY|Q1|1/253"
CANCER CELL,SCIE,48.8,,CANCER CELL,1535-6108,1878-3686,42.1,ONCOLOGY|Q1|5/322
LANCET NEUROLOGY,SCIE,46.5,,LANCET NEUROL,1474-4422,1474-4465,51.6,CLINICAL NEUROLOGY|Q1|1/277
Nature Reviews Gastroenterology & Hepatology,SCIE,45.9,,NAT REV GASTRO HEPAT,1759-5045,1759-5053,65.1,GASTROENTEROLOGY & HEPATOLOGY|Q1|1/143
REVIEWS OF MODERN PHYSICS,SCIE,45.9,,REV MOD PHYS,0034-6861,1539-0756,52.1,"PHYSICS, MULTIDISCIPLINARY|Q1|1/110"
CELL,SCIE,45.5,,CELL,0092-8674,1097-4172,49.0,CELL BIOLOGY|Q1|4/205
Nature Reviews Physics,SCIE,44.8,,NAT REV PHYS,N/A,2522-5820,44.6,"PHYSICS, MULTIDISCIPLINARY|Q1|2/110"
SCIENCE,SCIE,44.7,,SCIENCE,0036-8075,1095-9203,50.3,MULTIDISCIPLINARY SCIENCES|Q1|3/134
Lancet Diabetes & Endocrinology,SCIE,44.0,,LANCET DIABETES ENDO,2213-8587,2213-8595,38.2,ENDOCRINOLOGY & METABOLISM|Q1|1/186
eScience,SCIE,42.9,,ESCIENCE,N/A,2667-1417,42.9,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|3/438"
Nature Catalysis,SCIE,42.8,,NAT CATAL,2520-1158,2520-1158,47.0,"CHEMISTRY, PHYSICAL|Q1|1/178"
JOURNAL OF CLINICAL ONCOLOGY,SCIE,42.1,,J CLIN ONCOL,0732-183X,1527-7755,37.4,ONCOLOGY|Q1|6/322
Nature Reviews Cardiology,SCIE,41.7,,NAT REV CARDIOL,1759-5002,1759-5010,46.5,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|1/220
LANCET ONCOLOGY,SCIE,41.6,,LANCET ONCOL,1470-2045,1474-5488,42.2,ONCOLOGY|Q1|7/322
Signal Transduction and Targeted Therapy,SCIE,40.8,,SIGNAL TRANSDUCT TAR,2095-9907,2059-3635,40.5,CELL BIOLOGY|Q1|5/205
CHEMICAL SOCIETY REVIEWS,SCIE,40.4,,CHEM SOC REV,0306-0012,1460-4744,48.1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|2/230"
NATURE REVIEWS GENETICS,SCIE,39.1,,NAT REV GENET,1471-0056,1471-0064,52.3,GENETICS & HEREDITY|Q1|1/191
Lancet Respiratory Medicine,SCIE,38.7,,LANCET RESP MED,2213-2600,N/A,41.3,RESPIRATORY SYSTEM|Q1|1/100
Joule,SCIE,38.6,,JOULE,2542-4351,2542-4351,44.8,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|4/438"
Nature Nanotechnology,SCIE,38.1,,NAT NANOTECHNOL,1748-3387,1748-3395,39.6,NANOSCIENCE & NANOTECHNOLOGY|Q1|2/140
Nature Reviews Chemistry,SCIE,38.1,,NAT REV CHEM,N/A,2397-3358,39.6,"CHEMISTRY, MULTIDISCIPLINARY|Q1|3/230"
EUROPEAN HEART JOURNAL,SCIE,37.6,,EUR HEART J,0195-668X,1522-9645,32.6,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|2/220
MMWR Surveillance Summaries,SCIE,37.3,,MMWR SURVEILL SUMM,1545-8636,1545-8636,30.2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|1/403"
NATURE MATERIALS,SCIE,37.2,,NAT MATER,1476-1122,1476-4660,44.0,"PHYSICS, CONDENSED MATTER|Q1|1/79"
LANCET INFECTIOUS DISEASES,SCIE,36.4,,LANCET INFECT DIS,1473-3099,1474-4457,32.4,INFECTIOUS DISEASES|Q1|1/132
NATURE METHODS,SCIE,36.1,,NAT METHODS,1548-7091,1548-7105,45.6,BIOCHEMICAL RESEARCH METHODS|Q1|1/85
CIRCULATION,SCIE,35.5,,CIRCULATION,0009-7322,1524-4539,32.7,PERIPHERAL VASCULAR DISEASE|Q1|1/96
ADVANCES IN PHYSICS,SCIE,35.0,,ADV PHYS,0001-8732,1460-6976,41.3,"PHYSICS, CONDENSED MATTER|Q1|2/79"
IEEE Communications Surveys and Tutorials,SCIE,34.4,,IEEE COMMUN SURV TUT,N/A,1553-877X,34.0,TELECOMMUNICATIONS|Q1|1/119
Nature Electronics,SCIE,33.7,,NAT ELECTRON,2520-1131,2520-1131,39.2,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|1/352"
PROGRESS IN MATERIALS SCIENCE,SCIE,33.6,,PROG MATER SCI,0079-6425,1873-2208,41.2,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|7/438"
Innovation,SCIE,33.2,,INNOVATION-AMSTERDAM,2666-6758,2666-6758,31.8,MULTIDISCIPLINARY SCIENCES|Q1|4/134
NATURE BIOTECHNOLOGY,SCIE,33.1,,NAT BIOTECHNOL,1087-0156,1546-1696,56.9,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|Q1|2/174
Energy & Environmental Science,SCIE,32.4,,ENERG ENVIRON SCI,1754-5692,1754-5706,34.5,ENVIRONMENTAL SCIENCES|Q1|2/358
Nature Photonics,SCIE,32.3,,NAT PHOTONICS,1749-4885,1749-4893,35.8,"PHYSICS, APPLIED|Q1|3/179"
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,SCIE,32.0,,PROG ENERG COMBUST,0360-1285,1873-216X,36.8,THERMODYNAMICS|Q1|1/76
NATURE GENETICS,SCIE,31.7,,NAT GENET,1061-4036,1546-1718,36.6,GENETICS & HEREDITY|Q1|2/191
Nano-Micro Letters,SCIE,31.6,,NANO-MICRO LETT,2311-6706,2150-5551,26.0,"PHYSICS, APPLIED|Q1|4/179"
MATERIALS SCIENCE & ENGINEERING R-REPORTS,SCIE,31.6,,MAT SCI ENG R,0927-796X,1879-212X,34.3,"PHYSICS, APPLIED|Q1|4/179"
Nature Reviews Endocrinology,SCIE,31.0,,NAT REV ENDOCRINOL,1759-5029,1759-5037,46.8,ENDOCRINOLOGY & METABOLISM|Q1|2/186
Lancet Gastroenterology & Hepatology,SCIE,30.9,,LANCET GASTROENTEROL,N/A,2468-1253,29.6,GASTROENTEROLOGY & HEPATOLOGY|Q1|2/143
Lancet Psychiatry,SCIE,30.8,,LANCET PSYCHIAT,2215-0374,N/A,36.8,PSYCHIATRY|Q1|2/276
Physiological Reviews,SCIE,29.9,,PHYSIOL REV,0031-9333,1522-1210,45.0,PHYSIOLOGY|Q1|1/85
Cancer Discovery,SCIE,29.7,,CANCER DISCOV,2159-8274,2159-8290,32.4,ONCOLOGY|Q1|8/322
Nature Climate Change,SCIE,29.6,,NAT CLIM CHANGE,1758-678X,1758-6798,31.1,METEOROLOGY & ATMOSPHERIC SCIENCES|Q1|1/110
Journal of Hematology & Oncology,SCIE,29.5,,J HEMATOL ONCOL,N/A,1756-8722,26.9,ONCOLOGY|Q1|9/322
Nature Reviews Rheumatology,SCIE,29.4,,NAT REV RHEUMATOL,1759-4790,1759-4804,30.6,RHEUMATOLOGY|Q1|1/57
NATURE REVIEWS NEUROSCIENCE,SCIE,28.7,,NAT REV NEUROSCI,1471-003X,1471-0048,37.4,NEUROSCIENCES|Q1|2/310
Advanced Powder Materials,SCIE,28.6,,ADV POWDER MATER,N/A,2772-834X,28.6,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|10/438"
Nature Reviews Nephrology,SCIE,28.6,,NAT REV NEPHROL,1759-5061,1759-507X,40.0,UROLOGY & NEPHROLOGY|Q1|1/126
Annual Review of Pathology-Mechanisms of Disease,SCIE,28.4,,ANNU REV PATHOL-MECH,1553-4006,1553-4014,35.2,PATHOLOGY|Q1|1/88
Electrochemical Energy Reviews,SCIE,28.4,,ELECTROCHEM ENERGY R,2520-8489,2520-8136,30.1,ELECTROCHEMISTRY|Q1|2/45
Nature Reviews Neurology,SCIE,28.2,,NAT REV NEUROL,1759-4758,1759-4766,43.7,CLINICAL NEUROLOGY|Q1|2/277
CELL RESEARCH,SCIE,28.1,,CELL RES,1001-0602,1748-7838,36.4,CELL BIOLOGY|Q1|6/205
ASTRONOMY AND ASTROPHYSICS REVIEW,SCIE,27.8,,ASTRON ASTROPHYS REV,0935-4956,1432-0754,29.1,ASTRONOMY & ASTROPHYSICS|Q1|1/84
Cell Metabolism,SCIE,27.7,,CELL METAB,1550-4131,1932-7420,31.2,ENDOCRINOLOGY & METABOLISM|Q1|3/186
Molecular Cancer,SCIE,27.7,,MOL CANCER,N/A,1476-4598,31.3,ONCOLOGY|Q1|10/322
NATURE IMMUNOLOGY,SCIE,27.7,,NAT IMMUNOL,1529-2908,1529-2916,28.3,IMMUNOLOGY|Q1|2/181
ADVANCED MATERIALS,SCIE,27.4,,ADV MATER,0935-9648,1521-4095,30.2,"PHYSICS, CONDENSED MATTER|Q1|3/79"
eLight,SCIE,27.2,,ELIGHT,2097-1710,2662-8643,27.2,OPTICS|Q1|2/119
INTENSIVE CARE MEDICINE,SCIE,27.1,,INTENS CARE MED,0342-4642,1432-1238,24.0,CRITICAL CARE MEDICINE|Q1|2/54
Annual Review of Immunology,SCIE,26.9,,ANNU REV IMMUNOL,0732-0582,1545-3278,32.0,IMMUNOLOGY|Q1|3/181
JOURNAL OF HEPATOLOGY,SCIE,26.8,,J HEPATOL,0168-8278,1600-0641,28.0,GASTROENTEROLOGY & HEPATOLOGY|Q1|3/143
Nature Biomedical Engineering,SCIE,26.8,,NAT BIOMED ENG,2157-846X,2157-846X,29.2,"ENGINEERING, BIOMEDICAL|Q1|1/122"
Living Reviews in Relativity,SCIE,26.3,,LIVING REV RELATIV,2367-3613,1433-8351,37.9,"PHYSICS, PARTICLES & FIELDS|Q1|1/30"
Annual Review of Astronomy and Astrophysics,SCIE,26.3,,ANNU REV ASTRON ASTR,0066-4146,1545-4282,36.7,ASTRONOMY & ASTROPHYSICS|Q1|2/84
Science Robotics,SCIE,26.1,,SCI ROBOT,2470-9476,2470-9476,33.7,ROBOTICS|Q1|1/46
PROGRESS IN POLYMER SCIENCE,SCIE,26.0,,PROG POLYM SCI,0079-6700,1873-1619,29.5,POLYMER SCIENCE|Q1|1/94
Gastroenterology,SCIE,25.7,,GASTROENTEROLOGY,0016-5085,1528-0012,25.2,GASTROENTEROLOGY & HEPATOLOGY|Q1|4/143
Nature Sustainability,SCIE,25.7,,NAT SUSTAIN,2398-9629,2398-9629,29.9,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|1/91
Immunity,SCIE,25.5,,IMMUNITY,1074-7613,1097-4180,33.2,IMMUNOLOGY|Q1|4/181
Lancet Public Health,SCIE,25.4,,LANCET PUBLIC HEALTH,2468-2667,2468-2667,29.9,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|2/403"
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,SCIE,25.4,,MMWR-MORBID MORTAL W,0149-2195,1545-861X,18.5,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|2/403"
Annual Review of Fluid Mechanics,SCIE,25.4,,ANNU REV FLUID MECH,0066-4189,1545-4479,26.8,"PHYSICS, FLUIDS & PLASMAS|Q1|1/40"
EUROPEAN UROLOGY,SCIE,25.3,,EUR UROL,0302-2838,1873-7560,19.4,UROLOGY & NEPHROLOGY|Q1|2/126
REVIEWS OF GEOPHYSICS,SCIE,25.2,,REV GEOPHYS,8755-1209,1944-9208,32.5,GEOCHEMISTRY & GEOPHYSICS|Q1|1/101
Advances in Optics and Photonics,SCIE,25.2,,ADV OPT PHOTONICS,1943-8206,N/A,25.8,OPTICS|Q1|3/119
JAMA Pediatrics,SCIE,24.7,,JAMA PEDIATR,2168-6203,2168-6211,20.4,PEDIATRICS|Q1|1/186
FUNGAL DIVERSITY,SCIE,24.5,,FUNGAL DIVERS,1560-2745,1878-9129,24.1,MYCOLOGY|Q1|1/33
Interdisciplinary Materials,SCIE,24.5,,INTERD MATER,2767-4401,2767-441X,24.7,"PHYSICS, APPLIED|Q1|7/179"
Advanced Energy Materials,SCIE,24.4,,ADV ENERGY MATER,1614-6832,1614-6840,27.2,"PHYSICS, CONDENSED MATTER|Q1|4/79"
Lancet Planetary Health,SCIE,24.1,,LANCET PLANET HEALTH,N/A,2542-5196,25.6,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|4/403"
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,SCIE,23.9,,PHYS REP,0370-1573,1873-6270,25.7,"PHYSICS, MULTIDISCIPLINARY|Q1|3/110"
Lancet Digital Health,SCIE,23.8,,LANCET DIGIT HEALTH,N/A,2589-7500,27.7,"MEDICINE, GENERAL & INTERNAL|Q1|6/325"
ACM COMPUTING SURVEYS,SCIE,23.8,,ACM COMPUT SURV,0360-0300,1557-7341,21.1,"COMPUTER SCIENCE, THEORY & METHODS|Q1|1/143"
iMeta,SCIE,23.7,,IMETA,2770-5986,2770-596X,23.7,MICROBIOLOGY|Q1|2/161
Annual Review of Psychology,SCIE,23.6,,ANNU REV PSYCHOL,0066-4308,1545-2085,27.9,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|1/218"
Nature Food,SCIE,23.6,,NAT FOOD,N/A,2662-1355,25.0,FOOD SCIENCE & TECHNOLOGY|Q1|1/173
Nature Cancer,SCIE,23.5,,NAT CANCER,N/A,2662-1347,24.6,ONCOLOGY|Q1|11/322
PROCEEDINGS OF THE IEEE,SCIE,23.2,,P IEEE,0018-9219,1558-2256,18.4,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|2/352"
Advanced Composites and Hybrid Materials,SCIE,23.2,,ADV COMPOS HYBRID MA,2522-0128,2522-0136,17.7,NANOSCIENCE & NANOTECHNOLOGY|Q1|5/140
GUT,SCIE,23.0,,GUT,0017-5749,1468-3288,24.5,GASTROENTEROLOGY & HEPATOLOGY|Q1|5/143
Living Reviews in Solar Physics,SCIE,23.0,,LIVING REV SOL PHYS,2367-3648,1614-4961,24.6,ASTRONOMY & ASTROPHYSICS|Q1|3/84
InfoMat,SCIE,22.7,,INFOMAT,N/A,2567-3165,21.7,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|14/438"
JAMA Internal Medicine,SCIE,22.5,,JAMA INTERN MED,2168-6106,2168-6114,22.5,"MEDICINE, GENERAL & INTERNAL|Q1|7/325"
JAMA Oncology,SCIE,22.5,,JAMA ONCOL,2374-2437,2374-2445,25.9,ONCOLOGY|Q1|12/322
JAMA Psychiatry,SCIE,22.5,,JAMA PSYCHIAT,2168-622X,2168-6238,22.3,PSYCHIATRY|Q1|3/276
EnergyChem,SCIE,22.2,,ENERGYCHEM,2589-7780,2589-7780,25.4,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|15/438"
ENDOCRINE REVIEWS,SCIE,22.0,,ENDOCR REV,0163-769X,1945-7189,26.5,ENDOCRINOLOGY & METABOLISM|Q1|4/186
Cellular & Molecular Immunology,SCIE,21.8,,CELL MOL IMMUNOL,1672-7681,2042-0226,19.9,IMMUNOLOGY|Q1|5/181
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,SCIE,21.7,,J AM COLL CARDIOL,0735-1097,1558-3597,24.2,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|4/220
Nature Human Behaviour,SCIE,21.4,,NAT HUM BEHAV,2397-3374,2397-3374,20.4,"PSYCHOLOGY, EXPERIMENTAL|Q1|1/99"
Annual Review of Public Health,SCIE,21.4,,ANNU REV PUBL HEALTH,0163-7525,1545-2093,25.7,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|5/403"
Annual Review of Plant Biology,SCIE,21.3,,ANNU REV PLANT BIOL,1543-5008,1545-2123,28.2,PLANT SCIENCES|Q1|1/265
NATURE NEUROSCIENCE,SCIE,21.2,,NAT NEUROSCI,1097-6256,1546-1726,25.6,NEUROSCIENCES|Q1|4/310
Materials Today,SCIE,21.1,,MATER TODAY,1369-7021,1873-4103,25.4,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|16/438"
Journal of Thoracic Oncology,SCIE,21.0,,J THORAC ONCOL,1556-0864,1556-1380,16.5,RESPIRATORY SYSTEM|Q1|2/100
BLOOD,SCIE,21.0,,BLOOD,0006-4971,1528-0020,19.2,HEMATOLOGY|Q1|2/97
Lancet Microbe,SCIE,20.9,,LANCET MICROBE,N/A,2666-5247,23.4,MICROBIOLOGY|Q1|3/161
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,SCIE,20.8,,IEEE T PATTERN ANAL,0162-8828,1939-3539,22.2,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|3/352"
Cell Host & Microbe,SCIE,20.6,,CELL HOST MICROBE,1931-3128,1934-6069,22.1,VIROLOGY|Q1|1/41
Light-Science & Applications,SCIE,20.6,,LIGHT-SCI APPL,2095-5545,2047-7538,20.3,OPTICS|Q1|4/119
Advanced Photonics,SCIE,20.6,,ADV PHOTONICS,N/A,2577-5421,16.5,OPTICS|Q1|4/119
Nature Microbiology,SCIE,20.5,,NAT MICROBIOL,2058-5276,2058-5276,21.0,MICROBIOLOGY|Q1|5/161
JAMA Neurology,SCIE,20.4,,JAMA NEUROL,2168-6149,2168-6157,20.4,CLINICAL NEUROLOGY|Q1|3/277
ANNALS OF THE RHEUMATIC DISEASES,SCIE,20.3,,ANN RHEUM DIS,0003-4967,1468-2060,18.4,RHEUMATOLOGY|Q1|2/57
COORDINATION CHEMISTRY REVIEWS,SCIE,20.3,,COORDIN CHEM REV,0010-8545,1873-3840,19.9,"CHEMISTRY, INORGANIC & NUCLEAR|Q1|1/44"
Journal of Bioresources and Bioproducts,SCIE,20.2,,J BIORESOUR BIOPROD,2097-2415,2369-9698,N/A,"MATERIALS SCIENCE, PAPER & WOOD|Q1|1/23"
Applied Catalysis B-Environment and Energy,SCIE,20.2,,APPL CATAL B-ENVIRON,0926-3373,1873-3883,18.9,"ENGINEERING, ENVIRONMENTAL|Q1|1/81"
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,SCIE,20.1,,INT J INFORM MANAGE,0268-4012,1873-4707,19.2,INFORMATION SCIENCE & LIBRARY SCIENCE|Q1|1/160
Cancer Communications,SCIE,20.1,,CANCER COMMUN,N/A,2523-3548,16.7,ONCOLOGY|Q1|14/322
Lancet Child & Adolescent Health,SCIE,19.9,,LANCET CHILD ADOLESC,2352-4642,2352-4642,19.8,PEDIATRICS|Q1|2/186
Lancet Global Health,SCIE,19.9,,LANCET GLOB HEALTH,2214-109X,2214-109X,26.4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|6/403"
Cell Stem Cell,SCIE,19.8,,CELL STEM CELL,1934-5909,1875-9777,22.6,CELL BIOLOGY|Q1|8/205
ANNALS OF INTERNAL MEDICINE,SCIE,19.6,,ANN INTERN MED,0003-4819,1539-3704,28.8,"MEDICINE, GENERAL & INTERNAL|Q1|8/325"
Carbon Energy,SCIE,19.5,,CARBON ENERGY,N/A,2637-9368,19.9,NANOSCIENCE & NANOTECHNOLOGY|Q1|6/140
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,SCIE,19.3,,AM J RESP CRIT CARE,1073-449X,1535-4970,20.0,RESPIRATORY SYSTEM|Q1|3/100
Kidney International Supplements,SCIE,19.3,,KIDNEY INT SUPPL,2157-1724,2157-1716,14.2,UROLOGY & NEPHROLOGY|Q1|3/126
ACADEMY OF MANAGEMENT REVIEW,SCIE,19.3,,ACAD MANAGE REV,0363-7425,1930-3807,17.1,MANAGEMENT|Q1|1/401
PHARMACOLOGICAL REVIEWS,SCIE,19.3,,PHARMACOL REV,0031-6997,1521-0081,22.1,PHARMACOLOGY & PHARMACY|Q1|2/354
ACS Energy Letters,SCIE,19.3,,ACS ENERGY LETT,2380-8195,2380-8195,20.8,NANOSCIENCE & NANOTECHNOLOGY|Q1|7/140
Nature Chemistry,SCIE,19.2,,NAT CHEM,1755-4330,1755-4349,22.0,"CHEMISTRY, MULTIDISCIPLINARY|Q1|7/230"
Chem,SCIE,19.1,,CHEM-US,2451-9294,2451-9294,23.8,"CHEMISTRY, MULTIDISCIPLINARY|Q1|8/230"
CLINICAL MICROBIOLOGY REVIEWS,SCIE,19.0,,CLIN MICROBIOL REV,0893-8512,1098-6618,33.8,MICROBIOLOGY|Q1|6/161
REPORTS ON PROGRESS IN PHYSICS,SCIE,19.0,,REP PROG PHYS,0034-4885,1361-6633,18.2,"PHYSICS, MULTIDISCIPLINARY|Q1|4/110"
Nature Metabolism,SCIE,18.9,,NAT METAB,N/A,2522-5812,21.0,ENDOCRINOLOGY & METABOLISM|Q1|5/186
Energy Storage Materials,SCIE,18.9,,ENERGY STORAGE MATER,2405-8297,2405-8289,18.4,NANOSCIENCE & NANOTECHNOLOGY|Q1|8/140
Nature Machine Intelligence,SCIE,18.8,,NAT MACH INTELL,N/A,2522-5839,26.4,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS|Q1|1/169"
Science Bulletin,SCIE,18.8,,SCI BULL,2095-9273,2095-9281,15.8,MULTIDISCIPLINARY SCIENCES|Q1|6/134
SusMat,SCIE,18.7,,SUSMAT,2766-8479,2692-4552,18.7,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|20/438"
PROGRESS IN RETINAL AND EYE RESEARCH,SCIE,18.6,,PROG RETIN EYE RES,1350-9462,1873-1635,20.3,OPHTHALMOLOGY|Q1|1/95
Journal of Advanced Ceramics,SCIE,18.6,,J ADV CERAM,2226-4108,2227-8508,15.0,"MATERIALS SCIENCE, CERAMICS|Q1|1/31"
ADVANCED FUNCTIONAL MATERIALS,SCIE,18.5,,ADV FUNCT MATER,1616-301X,1616-3028,19.6,"PHYSICS, CONDENSED MATTER|Q1|5/79"
Psychological Science in the Public Interest,SCIE,18.2,,PSYCHOL SCI PUBL INT,1529-1006,1539-6053,40.0,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|2/218"
Bioactive Materials,SCIE,18.0,,BIOACT MATER,N/A,2452-199X,18.2,"MATERIALS SCIENCE, BIOMATERIALS|Q1|1/53"
Annual Review of Clinical Psychology,SCIE,17.8,,ANNU REV CLIN PSYCHO,1548-5943,1548-5951,21.9,"PSYCHOLOGY, CLINICAL|Q1|1/180"
Nature Physics,SCIE,17.6,,NAT PHYS,1745-2473,1745-2481,19.3,"PHYSICS, MULTIDISCIPLINARY|Q1|5/110"
Science Immunology,SCIE,17.6,,SCI IMMUNOL,2470-9468,2470-9468,19.1,IMMUNOLOGY|Q1|6/181
PERIODONTOLOGY 2000,SCIE,17.5,,PERIODONTOL 2000,0906-6713,1600-0757,16.8,"DENTISTRY, ORAL SURGERY & MEDICINE|Q1|1/157"
PSYCHOLOGICAL BULLETIN,SCIE,17.3,,PSYCHOL BULL,0033-2909,1939-1455,24.1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|3/218"
Computational Visual Media,SCIE,17.3,,COMPUT VIS MEDIA,2096-0433,2096-0662,N/A,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|Q1|1/131"
NATURE CELL BIOLOGY,SCIE,17.3,,NAT CELL BIOL,1465-7392,1476-4679,24.2,CELL BIOLOGY|Q1|9/205
Matter,SCIE,17.3,,MATTER-US,2590-2393,2590-2385,18.9,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|22/438"
TRENDS IN PLANT SCIENCE,SCIE,17.3,,TRENDS PLANT SCI,1360-1385,1878-4372,20.1,PLANT SCIENCES|Q1|2/265
Advanced Fiber Materials,SCIE,17.2,,ADV FIBER MATER,2524-7921,2524-793X,15.7,"MATERIALS SCIENCE, TEXTILES|Q1|1/29"
IEEE Reviews in Biomedical Engineering,SCIE,17.2,,IEEE REV BIOMED ENG,1937-3333,1941-1189,N/A,"ENGINEERING, BIOMEDICAL|Q1|3/122"
Molecular Plant,SCIE,17.1,,MOL PLANT,1674-2052,1752-9867,21.4,PLANT SCIENCES|Q1|3/265
